,AS,CEc,CEe,CL,MCr,MCt,MCu,MS,QLl,QLq,SNs,KNa,KNc,KNf,KNn,KNs,AT,VO
Babbage-002,0.9433023871698769,0.5329974146836987,0.37882439498662535,0.9856231542832188,0.9703260796345956,0.6338322014740818,0.5029554192460303,1.603073983310152,0.4404067697958174,0.21616062646460227,0.8662297150642146,0.7541176774719961,1.3073537450175436,0.29946195028771017,0.7875934205458833,1.6701636446235377,0.8391160623764953,0.4674620113440589
Davinci-002,1.5406840818526701,0.9639027454541428,0.46239323900595863,1.095698272366828,1.423283824190324,1.0635357693675005,0.9219582950802584,2.081114693650735,0.8430849694293457,0.5380963205087003,0.5053914718092175,1.2692548225328582,2.153587965140934,0.7996769768813045,1.1315417011892224,2.3133505215284105,1.3416752579947935,0.905297346022255
GPT-3.5-Turbo,2.6146804149123044,2.6643432080430047,1.969422634117214,1.9415786914890567,2.2810514548441336,2.8154654452611636,2.561272901879844,4.7523822105248,2.0752450191508256,2.5373750187381745,1.5316632725174275,3.579376341132441,4.34755243844459,2.864826051442552,3.3705650727536094,4.28996661921613,2.7727009013950283,2.3436618569418513
GPT-4o,3.3792995254133835,4.578488217025329,3.451393648376542,4.793643639039967,3.3443844846932076,4.657695951758928,3.6064225242900707,5.696187931943001,3.7238230086512325,3.779596316467884,4.786136795975638,5.163551437874384,5.953056755217576,4.459822756476243,4.556567915985882,7.00238829321581,3.8393432453792102,3.3547300210093924
OpenAI o1-mini,3.634620090435504,4.765145653124675,4.690347184704658,4.399329738623229,4.773499370779057,4.500262392175257,3.9229749178135567,5.307774658397936,4.7001712142901475,4.472794809218772,4.638106748147745,4.838759887947666,5.14807475517094,4.620931866102041,4.428442085452845,5.444680218703171,4.5242599492438735,4.211599414108555
OpenAI o1,3.8483902762468847,6.305464608434604,5.487759568264109,6.583539215897181,5.812202608974131,5.802292368955791,4.423129988229807,7.050264767528401,5.383220050401269,4.834899416660856,6.70486132631392,5.771070393791228,5.929694918850738,5.348479914773076,5.192463407237117,7.649309917231347,5.275808144701029,4.635046769754523
LLaMA-3.2-1B-Instruct,1.8884275086183262,1.6498213393033958,1.150810913102732,1.8475958949031075,1.6847719007808741,1.7760085686108344,1.5371967087231586,2.4535908711640593,1.531477416213935,1.5747725086495232,1.1641842552546564,2.136538553948613,2.4317916176008683,2.0454221764981138,2.3814266637768253,2.5730777522142354,1.561320954067171,1.5412897307262112
LLaMA-3.2-3B-Instruct,2.597965428353657,2.597222113430171,2.1118622504161495,2.005517850847482,2.3602422973226633,2.7063681968717286,2.5632760095779723,3.8140845891314457,2.2163994130814753,2.550373938734329,1.2744362272005245,3.3301502451260094,4.339707509242409,2.8508734460508265,3.193520123495463,3.918173149845779,2.617932628238618,2.377047778566799
LLaMA-3.2-11B-Instruct,2.8311110345911583,2.911249534880017,2.411121341699196,2.36327946622455,2.4704902106715427,3.062933473531818,2.6693910642205654,4.382498788197577,2.507927220062284,2.816975261970654,2.0125370832960634,3.8775401683692317,4.770933022314336,3.1856752708589546,3.5978471940828447,4.808685591930625,3.0286437732912166,2.537481947921284
LLaMA-3.2-90B-Instruct,3.285822022965082,4.237803260183388,3.211265877763398,4.4377619345558905,3.073633418762067,4.324499367877218,3.4331852746583555,5.453235274058392,3.377590482437198,3.562295919562709,4.514624355310406,4.81366114839912,5.65097821386862,4.199092989737959,4.355130779621678,5.612020615350949,3.6604829339112595,3.141891236584142
LLaMA-3.1-405B-Instruct,3.3532205827561388,4.35740323868375,3.3807523628243437,4.386286123634054,3.2733768201307734,4.64483738238701,3.529758441722117,5.6816886796194135,3.5465129546360195,3.6359554075977907,4.3678624840316935,4.860751210605883,5.7913248144598795,4.278078515758066,4.427054350053883,6.235495969210062,3.782196092574852,3.2210633894631253
DK-R1-Dist-Qwen-1.5B,2.4374227573186102,2.7285398902652256,2.650683792722727,2.830688076025579,2.352292250564372,2.835118469622289,2.48346573336172,3.347735936191902,2.999587689545839,3.4362884317436513,2.552475168923272,3.1007870445551466,2.8901509973203767,3.3743545076285995,3.155462992812964,2.7178946728938107,2.5834392276302105,2.716630924824476
DK-R1-Dist-Qwen-7B,3.089519199707293,3.6923782815009645,3.468053695197157,3.530401620576433,3.908415258561619,3.6914475272299674,3.2409005889065163,5.447184954780184,4.048961957987006,4.253469727133033,2.908455450302205,3.820252204389223,4.037017465303417,4.024152279650293,3.752212503099926,3.6523505438758748,3.802991001069587,3.64040066785474
DK-R1-Dist-Qwen-14B,3.436178318976593,4.473661928771528,3.7811641205456206,4.179154179827739,4.527590224068128,4.363362646958407,3.6691903327250746,6.969428119131693,4.423682798707366,4.47365052471341,3.6280106247371195,4.4354095296127,5.186451619681422,4.430042221199245,4.16724066855628,4.911030284045964,4.364484172483779,3.9411113680189938
DK-R1-Dist-Qwen-32B,3.484394225423826,4.7902229507595555,4.045438426173346,4.886235274609204,4.665549064653878,4.712660897087211,3.8188422009509164,7.483764972929884,4.666980983305343,4.553792529924028,4.502576963053988,4.815990119047748,5.560476590932068,4.647554672792906,4.449321198165387,5.661980933321644,4.618236154370636,4.146793923634607
